round	position	cell	internal_seconds	process_seconds	user_seconds	sys_seconds	max_rss_bytes
35	4	anchor_only	0.129	0.14			145571840
36	1	anchor_only	0.130	0.14			145375232
36	2	actual	0.131	0.14			145424384
36	3	control	0.130	0.14			145539072
36	4	query_only	0.129	0.14			145391616
37	1	control	0.130	0.14			145391616
37	2	anchor_only	0.130	0.14			145276928
37	3	query_only	0.129	0.14			145358848
37	4	actual	0.130	0.14			145375232
38	1	actual	0.130	0.14			145489920
38	2	query_only	0.130	0.14			145440768
38	3	anchor_only	0.130	0.14			145424384
38	4	control	0.131	0.14			145342464
39	1	query_only	0.130	0.14			145522688
39	2	control	0.129	0.14			145408000
39	3	actual	0.130	0.14			145309696
39	4	anchor_only	0.130	0.14			145473536
40	1	anchor_only	0.132	0.14			145457152
40	2	actual	0.131	0.14			145571840
40	3	control	0.132	0.14			145620992
40	4	query_only	0.129	0.14			147619840
41	1	control	0.130	0.14			145424384
41	2	anchor_only	0.130	0.14			145375232
41	3	query_only	0.129	0.14			145473536
41	4	actual	0.131	0.14			145637376
42	1	actual	0.130	0.14			145457152
42	2	query_only	0.129	0.14			145440768
42	3	anchor_only	0.130	0.14			145571840
42	4	control	0.129	0.14			145473536
43	1	query_only	0.129	0.14			145473536
43	2	control	0.129	0.14			145375232
43	3	actual	0.130	0.14			145702912
43	4	anchor_only	0.130	0.14			145424384
44	1	anchor_only	0.131	0.14			145457152
44	2	actual	0.130	0.14			145358848
44	3	control	0.131	0.14			145408000
44	4	query_only	0.129	0.14			145457152
45	1	control	0.129	0.14			145276928
45	2	anchor_only	0.130	0.14			145735680
45	3	query_only	0.129	0.14			145604608
45	4	actual	0.132	0.14			145408000
46	1	actual	0.130	0.14			145489920
46	2	query_only	0.130	0.14			145571840
46	3	anchor_only	0.130	0.14			145522688
46	4	control	0.130	0.14			145473536
47	1	query_only	0.130	0.14			147734528
47	2	control	0.129	0.14			145424384
47	3	actual	0.131	0.14			145342464
47	4	anchor_only	0.130	0.14			145653760
48	1	anchor_only	0.130	0.14			145391616
48	2	actual	0.129	0.14			145440768
48	3	control	0.129	0.14			145473536
48	4	query_only	0.128	0.14			145358848
49	1	control	0.131	0.14			145473536
49	2	anchor_only	0.130	0.14			145375232
49	3	query_only	0.129	0.14			145506304
49	4	actual	0.129	0.14			145424384
50	1	actual	0.131	0.14			145588224
50	2	query_only	0.129	0.14			145489920
50	3	anchor_only	0.129	0.14			145309696
50	4	control	0.130	0.14			145489920
